43,187,1,1,200,2019-04-10 01:32:25.651000
40,194,1,1,175,2019-04-10 01:33:33.049261
36,215,1,1,200,2019-04-10 01:34:44.121569
30,174,1,1,127,2019-04-10 01:35:52.026334
42,218,1,1,200,2019-04-10 01:37:04.002073
47,201,1,1,200,2019-04-10 01:38:12.755886
36,234,1,1,127,2019-04-10 01:39:21.425930
42,196,1,1,200,2019-04-10 01:40:30.696348
15,179,1,1,200,2019-04-10 01:41:37.499697
38,218,1,1,199,2019-04-10 01:42:58.432659
25,230,1,1,183,2019-04-10 01:44:07.951982
35,183,1,1,199,2019-04-10 01:45:16.560234
36,214,1,1,200,2019-04-10 01:46:23.416366
25,201,1,1,199,2019-04-10 01:47:35.830168
27,173,1,1,200,2019-04-10 01:48:46.165999
39,227,1,1,200,2019-04-10 01:49:55.172401
30,205,1,1,200,2019-04-10 01:51:02.185383
30,201,1,1,199,2019-04-10 01:52:06.252473
38,231,1,1,200,2019-04-10 01:53:27.757452
39,247,1,1,199,2019-04-10 01:54:40.675694
23,214,1,1,200,2019-04-10 01:55:47.208815
40,209,1,1,191,2019-04-10 01:56:53.955882
43,206,1,1,200,2019-04-10 01:58:10.086989
32,208,1,1,167,2019-04-10 01:59:16.081719
31,229,1,1,200,2019-04-10 02:00:22.320908
24,229,1,1,200,2019-04-10 02:01:25.412899
29,246,1,1,200,2019-04-10 02:02:33.615929
31,213,1,1,199,2019-04-10 02:03:47.982931
32,214,1,1,200,2019-04-10 02:04:55.502648
47,232,1,1,200,2019-04-10 02:06:00.084217
36,222,1,1,200,2019-04-10 02:07:10.283918
40,172,1,1,199,2019-04-10 02:08:15.499505
34,188,1,1,151,2019-04-10 02:09:30.522005
31,199,1,1,200,2019-04-10 02:10:36.069454
31,210,1,1,200,2019-04-10 02:11:56.360018
39,241,1,1,200,2019-04-10 02:13:07.627727
23,227,1,1,200,2019-04-10 02:14:22.924381
47,189,1,1,175,2019-04-10 02:15:38.358671
41,182,1,1,199,2019-04-10 02:16:49.361723
40,202,1,1,191,2019-04-10 02:17:57.582270
44,232,1,1,199,2019-04-10 02:19:08.368887
41,209,1,1,143,2019-04-10 02:20:26.309067
18,207,1,1,200,2019-04-10 02:21:45.851922
32,196,1,1,200,2019-04-10 02:22:54.760232
41,223,1,1,183,2019-04-10 02:24:04.696930
38,195,1,1,199,2019-04-10 02:25:09.690937
33,228,1,1,191,2019-04-10 02:26:19.043246
39,201,1,1,200,2019-04-10 02:27:25.192924
36,196,1,1,200,2019-04-10 02:28:31.951144
39,192,1,1,191,2019-04-10 02:29:44.448019
21,225,1,1,87,2019-04-10 02:30:52.116857
39,229,1,1,200,2019-04-10 02:32:00.953923
32,195,1,1,199,2019-04-10 02:33:07.782193
29,203,1,1,151,2019-04-10 02:34:23.142977
36,213,1,1,183,2019-04-10 02:35:43.815939
37,222,1,1,175,2019-04-10 02:36:54.143366
42,209,1,1,200,2019-04-10 02:38:06.203732
36,223,1,1,199,2019-04-10 02:39:24.121358
24,283,1,1,200,2019-04-10 02:40:41.509266
39,175,1,1,175,2019-04-10 02:41:53.837893
41,191,1,1,191,2019-04-10 02:43:09.579279
30,174,1,1,200,2019-04-10 02:44:27.972700
33,178,1,1,159,2019-04-10 02:45:38.238428
44,201,1,1,143,2019-04-10 02:46:46.187632
42,185,1,1,200,2019-04-10 02:47:55.269683
35,217,1,1,200,2019-04-10 02:49:09.513081
24,206,1,1,200,2019-04-10 02:50:31.003764
18,222,1,1,200,2019-04-10 02:51:42.017162
35,200,1,1,200,2019-04-10 02:52:54.865650
31,189,1,1,183,2019-04-10 02:54:09.469365
41,222,1,1,191,2019-04-10 02:55:29.140418
26,212,1,1,151,2019-04-10 02:56:34.592440
38,233,1,1,200,2019-04-10 02:57:51.683874
53,179,1,1,199,2019-04-10 02:59:06.269119
39,211,1,1,199,2019-04-10 03:00:21.264863
22,221,1,1,200,2019-04-10 03:01:28.931757
43,217,1,1,200,2019-04-10 03:02:44.926689
31,247,1,1,200,2019-04-10 03:04:06.483194
